id,name,distance,mass,radius
178,Luhman 16B,6.516,43,1.02
179,Luhman 16A,6.516,40,1.01
180,DENIS-P J1058.7−1548,49,64,1.00
181,TWA 28,180,36,2.39
182,Cha 110913-773444,163,8,1.8
183,OTS 44,554,15,?
184,SDSS J111010.01+011613.1,63,9,1.24
185,2MASS J11145133−2618235,18.2,33,0.96
186,TWA 26,137,30,2.20
187,2MASSW J1146345+223053,89,?,?
188,2MASS J11544223-3400390 [de],129,37,1.50
189,2MASSW J1155395-372735 [de],31,64,1.00
190,TWA 27A,?,?,?
191,TWA 27B,?,?,?
192,2MASS J12074836-3900043,217,17,1.71
193,2MASSI J1217110-031113 [de],36,42,0.94
194,2MASS J12255432-2739466,43,?,?
195,DENIS-P J1228.2-1547,66,?,?
196,2M 1237+6526,45.6,41,0.94
197,2MASSW J1239272+551537 [de],119,?,?
198,TWA 29,262,25,2.00
199,SDSSp J125453.90-012247.4 [de],38,47,0.98
200,Kelu-1A,61,63,0.98
201,Kelu-1B,61,58,0.98
202,2MASS J13204427+0409045,101,67,1.01
203,SDSSp J132629.82-003831.5 [de],65,51,0.97
204,SDSSp J134646.45-003150.4 [de],48,44,0.94
205,2MASS J13595510-4034582,51,63,1.00
206,ULAS J141623.94+134836.3,29.7,32,0.96
207,SDSS J141659.78+500626.4 [de],149,59,0.99
208,DENIS-P J142527.97-365023.4 [de],38,21,1.32
209,LHS 2924,38.5,76,1.06
210,2MASS J14392837+1929150,47,72,1.03
211,LSPM J1440+1339,72,92,1.19
212,2MASS J14482563+1031590 [de],47,59,0.99
213,CFBDSIR 1458+10A,104,11.1,1.5
214,CFBDSIR 1458+10B,104,9,1.3
215,TVLM 513-46546,35.1,75,1.05
216,2MASS 1503+2525,20.7,44,0.94
217,CFBDS J150411+102717,71,44,0.94
218,2MASSW J1506544+132106 [de],46,69,1.02
219,2MASS 1507−1627,23.9,60,0.99
220,TVLM 868-110639,53,79,1.08
221,SDSS J151114.66+060742.9 [de],89,?,?
222,2MASSW J1515008+484742 [de],34,57,0.99
223,2MASSI J1526140+204341 [de],67,54,0.98
224,DENIS-P J153941.96-052042.4 [de],51,63,1.00
225,2MASS J15462718-3325111 [de],37,44,0.94
226,2MASSW J1552591+294849 [de],68,30,1.43
227,2MASSW J1555157-095605 [de],44,71,1.03
228,2MASS J16150413+1340079 [de],48,42,0.94
229,SDSSp J162414.37+002915.6 [de],36,43,0.94
230,2MASS J16262034+3925190 [de],110,71,1.03
231,2MASSW J1632291+190441 [de],50,49,0.97
232,WISEPA J164715.59+563208.2,28,41,0.94
233,LSPM J1658+7027 [de],60,73,1.04
234,2MASSI J1726000+153819,114,24,1.40
235,2MASSW J1728114+394859,79,?,?
236,SDSSp J175032.96+175903.9,90,47,0.97
237,2MASS J18283572-4849046,39,45,0.95
238,LSR J1835+3259,18.5,77,1.07
239,2MASSW J1841086+311727,138,67,1.01
240,2MASS J18432213+4040209,46,96,1.22
241,2MASS J20004841-7523070,105,25,1.88
242,SDSS J204749.61-071818.3,65,46,0.96
243,2MASSI J2057540-025230,47,70,1.02
244,2MASSW J2101154+175658,108,?,?
245,2MASSI J2104149-103736,62,69,1.02
246,PSO J318.5−22,80,6.5,1.53
247,HB 2124-4228,113,94,1.21
248,2MASS J21392676+0220226,32.1,46,0.96
249,2MASS J21481628+4003593,26.3,55,0.99
250,2MASS J14112131-2119503,?,?,?
251,2MASSW J2206450-421721,93,22,1.33
252,2MASSW J2208136+292121,154,27,1.41
253,2MASSW J2224438-015852,38,61,0.99
254,2MASS J22282889-4310262,35,42,0.94
255,2MASS J22373255+3922398,64,73,1.04
256,2MASSW J2244316+204343,56,12,1.29
257,2MASS J23224684-3133231,56,24,1.39
258,2MASS J23225299-6151275,148,17,1.59
259,2MASS J23515044-2537367,67,88,1.16
260,2MASSI J2356547-155310,74,80,1.09
261,WISE 0005+3737,23.2,?,?
262,WISE 0008-1739,87.1,?,?
263,WISE 0015-4615,48.6,?,?
264,WISE 0031-3840,71.8,?,?
265,WISE 0032-4946,62.9,?,?
266,WISE 0038+2758,36.9,?,?
267,WISE 0038+8405,101.8,?,?
268,WISE 0040+0900,47.6,?,?
269,WISE 0049+0441,62.6,?,?
270,WISE 0049+2151,24.1,?,?
271,WISE 0106+1518,142.9,?,?
272,WISE 0123+4142,67.2,?,?
273,WISE 0135+1715,77.3,?,?
274,WISE 0138-0322,57.7,?,?
275,WISE 0146+4234,20.5,?,?
276,WISE 0148-7202,30,?,?
277,WISE 0150+3827,61.3,?,?
278,WISE 0206+2640,58.4,?,?
279,WISE 0221+3842,73.1,?,?
280,WISE 0223-2932,47,?,?
281,WISE 0226-0211,91,?,?
282,WISE 0241-3653,53.8,?,?
283,WISE 0245-3450,56.1,?,?
284,WISE 0247+3725,57.1,?,?
